                                      [Botanicula] 2012 | 200k | 4879 (96%) | 3.5h
                                 [Confess My Love] 2017 | 200k | 4018 (93%) | 2.0h
                                        [Contrast] 2013 | 200k | 4635 (91%) | 3.5h
                                      [Yume Nikki] 2018 | 200k | 4420 (93%) | 3.5h
                                       [Turbo Pug] 2015 | 200k | 3066 (91%) | 0.6h
                 [Oh...Sir!! The Insult Simulator] 2016 | 200k | 3140 (91%) | 1.0h
              [Robot Roller-Derby Disco Dodgeball] 2015 | 200k | 3537 (92%) | 2.5h
                                    [SimplePlanes] 2015 | 100k | 8083 (93%) | 3.5h
              [Princess Remedy in a World of Hurt] 2016 | 200k | 2679 (98%) | 0.8h
                                      [Mad Father] 2016 | 200k | 3459 (97%) | 3.0h
                            [Space Pirate Trainer] 2017 | 200k | 2574 (95%) | 0.3h
                                   [Job Simulator] 2016 | 200k | 3293 (90%) | 2.5h
                                      [Tattletail] 2016 | 200k | 2620 (93%) | 1.0h
                             [Rusty Lake Paradise] 2018 | 200k | 3088 (95%) | 3.0h
                           [Super Blue Boy Planet] 2016 | 200k | 2363 (91%) | 0.5h
                         [The Battle of Polytopia] 2020 | 200k | 2481 (95%) | 1.5h
                                        [The Deed] 2015 | 200k | 2312 (90%) | 0.4h
                          [The Darkside Detective] 2017 | 200k | 2937 (95%) | 3.0h
                                       [Aimtastic] 2018 | 200k | 2373 (94%) | 1.5h
                                   [Alien Shooter] 2009 | 200k | 2475 (95%) | 2.0h
                                  [Dreaming Sarah] 2015 | 200k | 2241 (91%) | 1.5h
                             [TowerFall Ascension] 2014 | 200k | 2795 (95%) | 3.5h
                                   [Trick & Treat] 2016 | 200k | 2037 (96%) | 1.5h
                                   [Lara Croft GO] 2016 | 200k | 2759 (92%) | 3.5h
                                   [Fox Hime Zero] 2018 | 100k | 3936 (97%) | 1.5h
                               [Another Adventure] 2017 | 100k | 3935 (91%) | 0.9h
                                       [Papo & Yo] 2013 | 200k | 2564 (94%) | 3.5h
                                          [Zup! 8] 2018 | 100k | 3537 (96%) | 1.0h
                             [I Expect You To Die] 2017 | 200k | 2017 (95%) | 2.0h
                                     [Red Trigger] 2016 | 200k | 1815 (90%) | 0.7h
                          [Kung Fury: Street Rage] 2015 | 200k | 2183 (90%) | 2.5h
                                   [Lovely Planet] 2014 | 200k | 2282 (91%) | 3.0h
                                      [Save Jesus] 2016 | 200k | 1865 (90%) | 2.0h
                                 [HIVESWAP: ACT 1] 2017 | 100k | 3522 (93%) | 2.0h
                                         [Solar 2] 2011 | 200k | 1802 (91%) | 2.0h
                                   [Cheeky Chooks] 2018 | 200k | 2131 (94%) | 3.5h
                              [Press X to Not Die] 2017 | 100k | 3032 (90%) | 0.6h
                             [Hero of the Kingdom] 2013 | 100k | 3914 (93%) | 3.0h
                 [Bloodstained: Curse of the Moon] 2018 | 100k | 3359 (95%) | 2.0h
                        [Full Throttle Remastered] 2017 | 200k | 2045 (93%) | 3.5h
                                      [NEKOPALIVE] 2016 | 200k | 1320 (93%) | 0.3h
                                  [Peggle Extreme] 2007 | 200k | 1282 (93%) | 0.7h
                                           [Zenge] 2016 | 100k | 2722 (95%) | 1.5h
                      [Westerado: Double Barreled] 2015 | 200k | 1591 (92%) | 2.5h
                                          [Zup! 4] 2017 | 100k | 2440 (90%) | 0.7h
                               [A Raven Monologue] 2018 | 100k | 2174 (95%) | 0.1h
                                          [Zup! 5] 2017 | 100k | 2374 (94%) | 1.0h
                                       [Zup! Zero] 2017 | 100k | 2284 (94%) | 0.7h
                                     [Gato Roboto] 2019 | 100k | 2900 (95%) | 3.0h
                            [Electronic Super Joy] 2013 | 100k | 3021 (90%) | 3.0h
                                         [Boson X] 2014 | 200k | 1426 (93%) | 3.0h
                                          [Hylics] 2015 | 100k | 2870 (98%) | 3.5h
                                          [Zup! 6] 2017 | 100k | 2006 (95%) | 0.7h
                    [SEUM: Speedrunners from Hell] 2016 | 100k | 2576 (95%) | 3.0h
                                         [Shatter] 2010 | 200k | 1102 (94%) | 2.5h
                   [Super Amazing Wagon Adventure] 2013 | 100k | 1803 (95%) | 1.0h
                         [Tormentum - Dark Sorrow] 2015 | 100k | 2254 (94%) | 3.0h
                       [Trover Saves the Universe] 2019 | 100k | 2449 (92%) | 3.5h
                                           [Minit] 2018 | 100k | 1844 (90%) | 1.5h
         [Jigoku Kisetsukan: Sense of the Seasons] 2015 | 100k | 1635 (93%) | 1.0h
                                           [Bleed] 2013 | 100k | 1720 (93%) | 1.5h
                                       [Year Walk] 2014 | 100k | 1722 (91%) | 1.5h
                          [Analogue: A Hate Story] 2012 | 100k | 2038 (93%) | 3.0h
                                       [Disturbed] 2016 | 100k | 1524 (92%) | 0.8h
                                    [Kero Blaster] 2015 | 200k | 1046 (94%) | 3.5h
                        [The Jackbox Party Pack 5] 2018 | 100k | 1930 (93%) | 3.0h
                                           [Akane] 2018 | 100k | 1963 (96%) | 3.5h
                               [The Count Lucanor] 2016 | 100k | 1821 (95%) | 3.5h
                                     [Frosty Kiss] 2016 | 100k | 1279 (90%) | 0.3h
                      [Super House of Dead Ninjas] 2013 | 100k | 1514 (96%) | 2.5h
                                 [Bad Dream: Coma] 2017 | 100k | 1612 (92%) | 3.0h
                                         [80 Days] 2015 | 100k | 1592 (91%) | 3.0h
                                [Lovers of Aether] 2019 | 100k | 1335 (93%) | 2.0h
                               [FRAMED Collection] 2018 | 100k | 1428 (93%) | 2.5h
                             [Voices from the Sea] 2015 | 100k | 1146 (93%) | 0.7h
                                     [Love Ribbon] 2017 | 100k | 1603 (93%) | 3.5h
                          [House of the Dying Sun] 2016 | 100k | 1424 (90%) | 2.5h
                                            [KAMI] 2014 | 100k | 1112 (96%) | 1.5h
                                           [Waves] 2011 | 100k | 1022 (94%) | 1.0h
      [Nightmares from the Deep: The Cursed Heart] 2014 | 100k | 1432 (92%) | 3.5h
              [Khimera: Destroy All Monster Girls] 2016 | 100k | 1225 (96%) | 3.0h
                                          [Zup! 7] 2017 | 50k | 1834 (96%) | 0.9h
                                 [The Bug Butcher] 2016 | 100k | 1042 (91%) | 2.0h
                      [Abyss: The Wraiths of Eden] 2014 | 100k | 1182 (91%) | 3.0h
           [Grim Legends 2: Song of the Dark Swan] 2015 | 100k | 1098 (96%) | 3.0h
                                [The Magic Circle] 2015 | 100k | 1219 (92%) | 3.5h
                                       [Ittle Dew] 2013 | 100k | 1119 (92%) | 3.0h
                                [Choice of Robots] 2014 | 50k | 1860 (97%) | 2.0h
                  [Deep Space Waifu: FLAT JUSTICE] 2017 | 50k | 1449 (96%) | 1.5h
                             [Subsurface Circular] 2017 | 50k | 1547 (94%) | 2.0h
                             [The Crown of Leaves] 2018 | 50k | 1485 (97%) | 2.0h
                              [Detective Grimoire] 2014 | 50k | 1569 (95%) | 2.5h
                                        [Majotori] 2017 | 50k | 1350 (97%) | 1.5h
               [I Can't Believe It's Not Gambling] 2017 | 50k | 1359 (92%) | 2.0h
                                         [TSIOQUE] 2018 | 50k | 1374 (96%) | 3.0h
